algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
ppo,104,416,13312,0,0.998712477603145,0.9988290891376669,0.009739597976463541,1.0888726906916464,-0.008252322880957992,0.00040415899229000765,0.0,9.95310903330053e-07,0.0
ppo,105,420,13440,0,0.9987218595085106,0.9988389520630607,0.009659264746695883,1.0889530239214138,-0.005611941522217669,0.00010941324427010641,0.0,3.8780702605402576e-07,0.0
ppo,106,424,13568,0,0.9987276807605042,0.9988450471609099,0.00960920743259836,1.0890030812355112,0.007314813094415176,0.00011146767554639935,0.0,1.5657832059905459e-07,0.0
ppo,107,428,13696,0,0.9987313688387636,0.9988488981223729,0.009577412504864566,1.0890348761632453,0.0030400347121269694,0.00015512546692773738,0.0,6.474191259075287e-08,0.0
ppo,108,432,13824,0,0.9987337460011465,0.9988513760839097,0.00955688803186111,1.0890554006362487,-0.006536848319634576,4.139985059964289e-06,0.0,2.7368826350008734e-08,0.0
ppo,109,436,13952,0,0.9987352907047006,0.9988529843175624,0.009543539609437471,1.0890687490586721,0.001685942922041643,6.411750482606375e-05,0.0,1.1679632691055967e-08,0.0
ppo,110,440,14080,0,0.9987362941969495,0.9988540281298095,0.009534860297038298,1.0890774283710714,0.0038029385916774107,3.098516722680207e-06,0.0,4.984649722206694e-09,0.0
ppo,111,444,14208,0,0.9987672293514086,0.998887474703327,0.00929585483013636,1.0893164338379735,0.0038933866173314945,0.0026522085509886276,0.0,1.8575134606282614e-06,0.0
ppo,112,448,14336,0,0.9987993335936075,0.998921806320917,0.009046663522581017,1.0895656251455288,-0.01088426308782745,1.286385434421496e-05,0.0,2.2138851524187625e-06,0.0
ppo,113,452,14464,0,0.9988186368760152,0.9989422351755325,0.008896169182569606,1.0897161194855403,0.003701301116509078,0.00013308725518969088,0.0,8.51811464515089e-07,0.0
ppo,114,456,14592,0,0.9988305871416933,0.998954798151923,0.008802742891705947,1.0898095457764039,0.005081628738050872,3.0811481917990946e-05,0.0,3.402650310983173e-07,0.0
ppo,115,460,14720,0,0.9988381740713776,0.9989627354324861,0.008743355535132774,1.0898689331329767,-0.005089532726201003,1.8095729388688738e-05,0.0,1.4059424886609333e-07,0.0
ppo,116,464,14848,0,0.9988430646949511,0.998967834062739,0.008705056348642297,1.0899072323194674,-0.0002437570966622419,3.818383976928231e-05,0.0,5.927405111234699e-08,0.0
ppo,117,468,14976,0,0.9988462169544239,0.998971116141485,0.008680338946986032,1.0899319497211237,0.004395302351229024,5.4209797306808606e-06,0.0,2.4976667218629963e-08,0.0
ppo,118,472,15104,0,0.9988482700514694,0.9989732512571221,0.008664231677560539,1.089948056990549,-0.0020363132431590256,1.550710028481838e-05,0.0,1.068394609085775e-08,0.0
ppo,119,476,15232,0,0.9988496252659054,0.9989746578125821,0.008653608846681376,1.0899586798214285,-0.001339834433931796,6.414600934714121e-06,0.0,4.6542831052709925e-09,0.0
ppo,120,480,15360,0,0.99885050831871,0.9989755746792244,0.008646679537353352,1.0899656091307564,0.0022407055442133102,8.610314668351705e-07,0.0,1.989139685476378e-09,0.0
