step,optimizer_steps,sampled_episodes,sampled_transitions,old_policy_kl,expected_return,left_probability,left_success_probability,value_start
76,304,4864,9728,5.162780342077828e-09,0.9989304236656669,0.9993103001691704,0.9994895320262391,1.0029690435240888
77,308,4928,9856,2.2365436027193684e-09,0.9989325555528348,0.9993103000333954,0.9994916654949275,0.9994423551477176
78,312,4992,9984,9.687394827555854e-10,0.9989339538259976,0.999310296829747,0.9994930673320012,0.9986658570280096
79,316,5056,10112,4.2656254745588175e-10,0.9989348849940287,0.999310300021933,0.9994939965531447,1.001210474482197
80,320,5120,10240,1.4376987064618845e-06,0.998984990712398,0.9993713536467272,0.9994946089913249,0.980972666980764
81,324,5184,10368,1.7859657657405649e-06,0.9990377894248837,0.9994359888367783,0.9994950107967596,1.0028899397827262
82,328,5248,10496,7.089565626777709e-07,0.9990697068320891,0.9994750309638589,0.9994952784551899,1.0100331524788995
83,332,5312,10624,2.8991906030885846e-07,0.9990895680058174,0.9994993129622808,0.9994954552667371,0.9898344639257038
84,336,5376,10752,1.2151469139353471e-07,0.9991021952354052,0.9995147473113494,0.9994955705362677,1.001957801299654
85,340,5440,10880,5.1656251550588945e-08,0.999110331931681,0.9995246891667419,0.9994956477993429,1.0049700513948079
86,344,5504,11008,2.2064739904872723e-08,0.9991156084899879,0.9995311349956972,0.9994956990019167,0.9944635663706648
87,348,5568,11136,9.536624852756389e-09,0.9991190586372866,0.9995353503234565,0.9994957319640625,1.001559995538675
88,352,5632,11264,4.134943809645959e-09,0.9991213232340295,0.9995381163108918,0.9994957542937679,1.002245063500195
89,356,5696,11392,1.7843019220663257e-09,0.9991228076654098,0.9995399291028507,0.9994957691727273,0.9969855978062674
90,360,5760,11520,7.79808175706738e-10,0.9991237870521379,0.9995411256985798,0.9994957785305542,1.0012425272003909
91,364,5824,11648,3.398320371607663e-10,0.9991244332357397,0.9995419148259775,0.999495785002502,1.0008420021573647
92,368,5888,11776,1.465427566594527e-10,0.9991248573840316,0.9995424326811129,0.9994957893479398,0.9984123145164907
93,372,5952,11904,1.6517628535434776e-06,0.9991806133144313,0.999542750793172,0.9995513127854239,0.977401501456679
94,376,6016,12032,1.9846009987142356e-06,0.9992378312396363,0.9995429858267778,0.9996083662392894,1.005344245827543
95,380,6080,12160,7.671937644428499e-07,0.9992715960112316,0.9995431514348381,0.999642012111348,1.0090075966492211
96,384,6144,12288,3.0841424465879807e-07,0.999292261804767,0.9995432413708817,0.9996626143943821,0.9891466065361373
97,388,6208,12416,1.2771408233701674e-06,0.999341159007763,0.9995875769298979,0.9996755684367399,0.9839749137724655
98,392,6272,12544,1.4621130104612174e-06,0.9993870057702948,0.9996339100975951,0.9996838494108222,1.0095302895153369
99,396,6336,12672,5.749584812481384e-07,0.9994148076181721,0.9996616078012095,0.9996891944115096,1.0018550302046716
100,400,6400,12800,2.3400946333280044e-07,0.9994321697719295,0.9996787270671247,0.9996926764524162,0.9916380863311874
101,404,6464,12928,9.763374279894088e-08,0.999443227830358,0.9996895564139516,0.9996949541570617,1.0069142845148433
102,408,6528,13056,4.127771815322179e-08,0.9994503506398085,0.9996965018312084,0.9996964456572575,0.9989020807293256
103,412,6592,13184,1.7624560712422358e-08,0.9994549789999717,0.9997009985646155,0.9996974280826364,0.9963779020238458
104,416,6656,13312,7.595801793354779e-09,0.9994580048677815,0.9997039330943369,0.9996980746414666,1.0043644447006959
105,420,6720,13440,3.273757514040048e-09,0.9994599855803966,0.9997058521562219,0.9996984993822651,0.9980634801927192
106,424,6784,13568,1.4177345291603628e-09,0.9994612877998631,0.999707111477576,0.9996987805461428,0.999013395478584
107,428,6848,13696,1.16748528566054e-06,0.9994978930708707,0.9997079297670546,0.9997347327962903,0.9779048056305638
108,432,6912,13824,1.3755755329804065e-06,0.9995347131588782,0.9997084789343406,0.9997711181717005,1.006110917366147
109,436,6976,13952,5.254813310572114e-07,0.9995562379322773,0.9997088446345088,0.9997923525680696,1.0073198547459479
110,440,7040,14080,2.096809464768482e-07,0.9995693396916224,0.9997090781152459,0.9998052687420517,0.9894179039758021
111,444,7104,14208,8.628399541921126e-08,0.9995775478525295,0.9997092369512595,0.9998133504415061,1.0058291686307077
112,448,7168,14336,3.6173010767668606e-08,0.9995827786508537,0.9997093414481658,0.9998184979912627,1.0005470176924363
113,452,7232,14464,1.534412561426963e-08,0.9995861480259175,0.9997094078010967,0.9998218145189401,0.9961426713852183
114,456,7296,14592,6.579452124921462e-09,0.9995883412422595,0.9997094541445825,0.9998239707778103,1.0033806421706866
115,460,7360,14720,2.8304157457369416e-09,0.999589772443415,0.9997094837066036,0.9998253784134286,0.9989181990874115
116,464,7424,14848,1.2217498837124455e-09,0.9995907095681773,0.9997095027390308,0.9998263003708985,0.9991813957606483
117,468,7488,14976,5.305329786584424e-10,0.9995913266535319,0.9997095162726053,0.9998269066567557,1.0013518493866482
118,472,7552,15104,2.2951413228557485e-10,0.9995917314825654,0.9997095245360095,0.9998273048999137,0.9991633263935735
119,476,7616,15232,9.966472555801718e-11,0.9995919981078066,0.9997095300919974,0.9998275670954505,1.0000870083264901
120,480,7680,15360,4.345998738864119e-11,0.9995921742541397,0.9997095339889668,0.9998277401316307,1.0003276439622975
