group_size,batch_prompts,algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
2,64,grpo,41,164,5248,0,0.9934815476026697,0.9939790178140167,0.04044698997795862,1.058165298690151,0.030790906068239445,0.0,0.0,1.6643802680543936e-05,0.984375
2,64,grpo,42,168,5376,0,0.9936981844233738,0.9941386672421445,0.03955419804284756,1.0590580906252625,0.03184396064150824,0.0,0.0,1.0810100436360475e-05,1.0
2,64,grpo,43,172,5504,0,0.9940258504438486,0.994403762517269,0.03795704638013493,1.0606552422879747,0.029546460433254897,0.0,0.0,2.0706701076765836e-05,0.953125
2,64,grpo,44,176,5632,0,0.9944615626727662,0.9947781059299284,0.035705368941939805,1.06290691972617,0.03041631395978544,0.0,0.0078125,2.950172846671502e-05,0.96875
2,64,grpo,45,180,5760,0,0.9948135865243389,0.9950836513057754,0.033829866276422926,1.0647824223916866,0.03098338481155384,0.0,0.0,2.05079441080913e-05,0.984375
2,64,grpo,46,184,5888,0,0.9950247581663647,0.9952656262229345,0.0326809598160157,1.065931328852094,0.03200232303439552,0.0,0.0,9.251670939269829e-06,1.0
2,64,grpo,47,188,6016,0,0.9952137100272224,0.9954398380858736,0.031610539748993804,1.067001748919116,0.03144405044953215,0.0,0.0,7.422680858579431e-06,0.984375
2,64,grpo,48,192,6144,0,0.9953526657789515,0.9955700562473508,0.030809220568931137,1.0678030680991786,0.03200514347226214,0.0,0.0,5.229060206592472e-06,1.0
2,64,grpo,49,196,6272,0,0.9954279360743075,0.9956393160719575,0.030373222817421316,1.0682390658506884,0.03207610173535139,0.0,0.0,2.0544566199325975e-06,1.0
2,64,grpo,50,200,6400,0,0.9955629008184357,0.9957563894820621,0.029654809224413978,1.0689574794436958,0.03154355090899813,0.0,0.0,3.300876508161663e-06,0.984375
2,64,grpo,51,204,6528,0,0.9956803637293381,0.9958573921441711,0.029032010517507242,1.0695802781506027,0.03204342510689805,0.0,0.0,3.4924616619067362e-06,1.0
2,64,grpo,52,208,6656,0,0.9957428678063647,0.995910124303542,0.028701307372184084,1.0699109812959258,0.03213345554855042,0.0,0.0,1.215208153715075e-06,1.0
2,64,grpo,53,212,6784,0,0.9958347175240161,0.9960030235882408,0.028142642433891824,1.0704696462342178,0.031817186808192816,0.0,0.0,2.5661868266364194e-06,0.984375
2,64,grpo,54,216,6912,0,0.995967959027146,0.9961307648268226,0.027356968125442915,1.0712553205426667,0.03147319883208682,0.0,0.0,6.994331410393499e-06,0.984375
2,64,grpo,55,220,7040,0,0.9961572563070371,0.9963276621918848,0.0261828684662972,1.0724294202018125,0.03166037862601996,0.0,0.0,9.851267117870779e-06,0.984375
2,64,grpo,56,224,7168,0,0.9963068673258475,0.9964885994491846,0.025221672524586874,1.073390616143523,0.03229226691848337,0.0,0.0,8.000087547960741e-06,1.0
2,64,grpo,57,228,7296,0,0.9964742504104585,0.9966444366105494,0.024281757218850484,1.0743305314492593,0.031922129938655286,0.0,0.0,4.6235797774252265e-06,0.984375
2,64,grpo,58,232,7424,0,0.996681351571426,0.9968458693935303,0.02306331648778564,1.075548972180324,0.03148976589914357,0.0,0.0,1.0810197260664895e-05,0.984375
2,64,grpo,59,236,7552,0,0.99690075152028,0.9970505770877393,0.021804373673418066,1.0768079149946916,0.0316401398265944,0.0,0.0,1.1976579792254807e-05,0.984375
2,64,grpo,60,240,7680,0,0.9970585587654323,0.9971931983133688,0.020913462651372637,1.0776988260167375,0.03233499707612834,0.0,0.0,6.443390636166315e-06,1.0
2,64,grpo,61,244,7808,0,0.997150338459822,0.9972760026934733,0.020390709537793025,1.0782215791303167,0.032370861676601415,0.0,0.0,2.4212737398815654e-06,1.0
2,64,grpo,62,248,7936,0,0.9972475093224494,0.9973730878702329,0.019778296647173593,1.0788339920209362,0.03198130126559999,0.0,0.0,2.781448901840656e-06,0.984375
2,64,grpo,63,252,8064,0,0.9973248231998886,0.997452623463398,0.019272844829989415,1.0793394438381203,0.03237637624972486,0.0,0.0,2.616545725502936e-06,1.0
2,64,grpo,64,256,8192,0,0.997369026409023,0.997498060812006,0.018982089517786276,1.0796301991503234,0.032390784294492,0.0,0.0,9.849154127738242e-07,1.0
2,64,grpo,65,260,8320,0,0.9974421795994675,0.9975775538236616,0.018468103486323578,1.0801441851817861,0.03182979298919716,0.0,0.0,3.481627499669764e-06,0.984375
2,64,grpo,66,264,8448,0,0.9975050007385731,0.9976463231673367,0.018016035188613836,1.080596253479496,0.03240050054523963,0.0,0.0,3.6200485158267406e-06,1.0
2,64,grpo,67,268,8576,0,0.9975392780218959,0.9976840820355207,0.01776426421314479,1.0808480244549648,0.03242268026925813,0.0,0.0,1.3424253290559672e-06,1.0
2,64,grpo,68,272,8704,0,0.9975567746511528,0.9977038002255635,0.017631256240583242,1.0809810324275266,0.03244199361044201,0.0,0.0,5.084925585737853e-07,1.0
2,64,grpo,69,276,8832,0,0.9975639661748021,0.9977124995633899,0.01757160763346594,1.081040681034644,0.03243153900457037,0.0,0.0,1.9738058401701034e-07,1.0
2,64,grpo,70,280,8960,0,0.9976004174422487,0.9977536187515023,0.017299210045007826,1.081313078623102,0.0320160228584724,0.0,0.0,1.6502068540343472e-06,0.984375
2,64,grpo,71,284,9088,0,0.997635589680002,0.997793271083638,0.017033319215327122,1.0815789694527824,0.03244158111933071,0.0,0.0,1.953306284076162e-06,1.0
2,64,grpo,72,288,9216,0,0.9976528355143877,0.9978133577214252,0.01689600471892794,1.0817162839491818,0.03241391532444763,0.0,0.0,7.720257969335563e-07,1.0
2,64,grpo,73,292,9344,0,0.9976879313472637,0.9978525979652385,0.01662511036793801,1.0819871783001718,0.03180050562814606,0.0,0.0,2.7074496808994163e-06,0.984375
2,64,grpo,74,296,9472,0,0.997717743074511,0.997885755804958,0.016391121340815072,1.0822211673272948,0.03248453260626414,0.0,0.0,2.3597338102861287e-06,1.0
2,64,grpo,75,300,9600,0,0.9977315169986745,0.9979015865367004,0.01627524319481452,1.0823370454732952,0.032458016755094306,0.0,0.0,9.155474418863821e-07,1.0
2,64,grpo,76,304,9728,0,0.9977357582204704,0.9979072502072338,0.01622983163800114,1.0823824570301088,0.03245401049207892,0.0,0.0,3.7239631722894497e-07,1.0
2,64,grpo,77,308,9856,0,0.997734957203798,0.9979075008676666,0.01622315363449494,1.082389135033615,0.03254411407229505,0.0,0.0,1.5391125683991118e-07,1.0
2,64,grpo,78,312,9984,0,0.9977309720714729,0.9979043519196984,0.01624107397275696,1.0823712146953528,0.03249838435237117,0.0,0.0,6.998373779111877e-08,1.0
2,64,grpo,79,316,10112,0,0.997724595288355,0.9978987008676602,0.016276755520860792,1.082335533147249,0.032489467410787155,0.0,0.0,3.938625348484679e-08,1.0
2,64,grpo,80,320,10240,0,0.9977161539420809,0.9978909430118514,0.01632683836760527,1.0822854503005046,0.03244402264328997,0.0,0.0,3.1145684809501895e-08,1.0
2,64,grpo,81,324,10368,0,0.9977062103132152,0.9978816596319621,0.01638729554017616,1.0822249931279337,0.0324591836675968,0.0,0.0,3.091214928444965e-08,1.0
2,64,grpo,82,328,10496,0,0.9976958570904483,0.9978719286146742,0.016451247654379487,1.0821610410137303,0.03251221900127178,0.0,0.0,2.7895258799747474e-08,1.0
2,64,grpo,83,332,10624,0,0.9976846599118134,0.997861350975084,0.016520836361023944,1.0820914523070857,0.0324314042855839,0.0,0.0,3.053427725984419e-08,1.0
2,64,grpo,84,336,10752,0,0.9976724003082853,0.9978497283577668,0.016597083875877477,1.0820152047922322,0.03242989934057105,0.0,0.0,3.629454986834239e-08,1.0
2,64,grpo,85,340,10880,0,0.997659493287231,0.9978374703515331,0.01667736170445527,1.0819349269636545,0.03244000960136798,0.0,0.0,3.979782787113223e-08,1.0
2,64,grpo,86,344,11008,0,0.9976463567656563,0.9978249824387256,0.016759172890114332,1.0818531157779954,0.03245752237819882,0.0,0.0,4.0313631525577814e-08,1.0
2,64,grpo,87,348,11136,0,0.9976326852874394,0.9978119661172992,0.01684435859146221,1.0817679300766474,0.03241740603198244,0.0,0.0,4.364162537928542e-08,1.0
2,64,grpo,88,352,11264,0,0.9976185231645238,0.9977984727483583,0.016932471298061087,1.0816798173700486,0.03242831280802584,0.0,0.0,4.705124532625544e-08,1.0
2,64,grpo,89,356,11392,0,0.9976044636106364,0.9977850771352896,0.017020041757476127,1.0815922469106336,0.0324674297278954,0.0,0.0,4.4994745191745854e-08,1.0
