step,time,replan_reason,joint_error_rad,max_velocity_bound_violation,solver_violation
140,2.800000000000002,reused,7.420784517051678e-12,0.0,0.0
141,2.820000000000002,periodic,6.503535522274954e-12,0.0,0.0
142,2.840000000000002,reused,5.58628652768136e-12,0.0,0.0
143,2.860000000000002,reused,4.669037533378823e-12,0.0,0.0
144,2.880000000000002,reused,3.75178853958082e-12,0.0,0.0
145,2.900000000000002,reused,2.834539546777148e-12,0.0,0.0
146,2.920000000000002,periodic,2.48420764885729e-12,0.0,0.0
147,2.940000000000002,reused,2.1338757516682264e-12,0.0,0.0
148,2.960000000000002,reused,1.7835438556405958e-12,0.0,0.0
149,2.980000000000002,reused,1.4332119616260936e-12,0.0,0.0
150,3.000000000000002,reused,1.0828800715785746e-12,0.0,0.0
151,3.0200000000000022,periodic,9.490247231092182e-13,0.0,0.0
152,3.0400000000000023,reused,8.151693766983154e-13,0.0,0.0
153,3.0600000000000023,reused,6.813140335591169e-13,0.0,0.0
154,3.0800000000000023,reused,5.474586960914485e-13,0.0,0.0
155,3.1000000000000023,reused,4.135809511052676e-13,0.0,0.0
156,3.1200000000000023,periodic,3.624554615108124e-13,0.0,0.0
157,3.1400000000000023,reused,3.1132997502388715e-13,0.0,0.0
158,3.1600000000000024,reused,2.6020449347621247e-13,0.0,0.0
159,3.1800000000000024,reused,2.0907902049112986e-13,0.0,0.0
160,3.2000000000000024,reused,1.579535643831067e-13,0.0,0.0
161,3.2200000000000024,periodic,1.384518444819943e-13,0.0,0.0
162,3.2400000000000024,reused,1.189501259165391e-13,0.0,0.0
163,3.2600000000000025,reused,9.944840947250367e-14,0.0,0.0
164,3.2800000000000025,reused,7.994669670234711e-14,0.0,0.0
165,3.3000000000000025,reused,6.044499116204313e-14,0.0,0.0
166,3.3200000000000025,periodic,5.291636704997489e-14,0.0,0.0
167,3.3400000000000025,reused,4.538775852833506e-14,0.0,0.0
168,3.3600000000000025,reused,3.7859174897979805e-14,0.0,0.0
169,3.3800000000000026,reused,3.033063469424576e-14,0.0,0.0
170,3.4000000000000026,reused,2.2952501742592876e-14,0.0,0.0
171,3.4200000000000026,periodic,2.0169425080084967e-14,0.0,0.0
172,3.4400000000000026,reused,1.7386425771135323e-14,0.0,0.0
173,3.4600000000000026,reused,1.460354803963211e-14,0.0,0.0
174,3.4800000000000026,reused,1.1820877751380975e-14,0.0,0.0
175,3.5000000000000027,reused,9.016077367275442e-15,0.0,0.0
176,3.5200000000000027,periodic,7.873195718262682e-15,0.0,0.0
177,3.5400000000000027,reused,6.7303694023424734e-15,0.0,0.0
178,3.5600000000000027,reused,5.587632371089777e-15,0.0,0.0
179,3.5800000000000027,reused,4.44505348510651e-15,0.0,0.0
180,3.6000000000000028,reused,3.3027968761353315e-15,0.0,0.0
181,3.6200000000000028,periodic,2.9561968330359063e-15,0.0,0.0
182,3.640000000000003,reused,2.610795139258403e-15,0.0,0.0
183,3.660000000000003,reused,2.1152589550219202e-15,0.0,0.0
184,3.680000000000003,reused,1.7728839976828627e-15,0.0,0.0
185,3.700000000000003,reused,1.2971092472944172e-15,0.0,0.0
186,3.720000000000003,periodic,1.1457372517703787e-15,0.0,0.0
187,3.740000000000003,reused,9.961119953842058e-16,0.0,0.0
188,3.760000000000003,reused,8.233634315563857e-16,0.0,0.0
189,3.780000000000003,reused,6.753223014464259e-16,0.0,0.0
190,3.800000000000003,reused,5.026748538604307e-16,0.0,0.0
191,3.820000000000003,periodic,5.026748538604307e-16,0.0,0.0
192,3.840000000000003,reused,5.026748538604307e-16,0.0,0.0
193,3.860000000000003,reused,5.026748538604307e-16,0.0,0.0
194,3.880000000000003,reused,5.026748538604307e-16,0.0,0.0
195,3.900000000000003,reused,5.026748538604307e-16,0.0,0.0
196,3.920000000000003,periodic,5.026748538604307e-16,0.0,0.0
197,3.940000000000003,reused,5.026748538604307e-16,0.0,0.0
198,3.960000000000003,reused,5.026748538604307e-16,0.0,0.0
